date,lineage,count
15/05/2021,BA.4,0
15/05/2021,BA.5,0
15/05/2021,BA.1,0
15/05/2021,BA.2.75,0
15/05/2021,XBB,0
15/05/2021,BA.5.3,0
22/05/2021,A,0
22/05/2021,B,39
22/05/2021,B.1.1.7,1818
22/05/2021,B.1.617.2,4214
22/05/2021,B.1.1.529,0
22/05/2021,BA.2,0
22/05/2021,BA.4,0
22/05/2021,BA.5,0
22/05/2021,BA.1,0
22/05/2021,BA.2.75,0
22/05/2021,XBB,0
22/05/2021,BA.5.3,0
29/05/2021,A,0
29/05/2021,B,25
29/05/2021,B.1.1.7,1448
29/05/2021,B.1.617.2,7065
29/05/2021,B.1.1.529,0
29/05/2021,BA.2,0
29/05/2021,BA.4,0
29/05/2021,BA.5,0
29/05/2021,BA.1,0
29/05/2021,BA.2.75,0
29/05/2021,XBB,0
29/05/2021,BA.5.3,0
05/06/2021,A,0
05/06/2021,B,18
05/06/2021,B.1.1.7,978
05/06/2021,B.1.617.2,12157
05/06/2021,B.1.1.529,0
05/06/2021,BA.2,0
05/06/2021,BA.4,0
05/06/2021,BA.5,0
05/06/2021,BA.1,0
05/06/2021,BA.2.75,0
05/06/2021,XBB,0
05/06/2021,BA.5.3,0
12/06/2021,A,0
12/06/2021,B,16
12/06/2021,B.1.1.7,597
12/06/2021,B.1.617.2,12829
12/06/2021,B.1.1.529,0
12/06/2021,BA.2,0
12/06/2021,BA.4,0
12/06/2021,BA.5,0
12/06/2021,BA.1,0
12/06/2021,BA.2.75,0
12/06/2021,XBB,0
12/06/2021,BA.5.3,0
19/06/2021,A,0
19/06/2021,B,2
19/06/2021,B.1.1.7,149
19/06/2021,B.1.617.2,10098
19/06/2021,B.1.1.529,0
19/06/2021,BA.2,0
19/06/2021,BA.4,0
19/06/2021,BA.5,0
19/06/2021,BA.1,0
19/06/2021,BA.2.75,0
19/06/2021,XBB,0
19/06/2021,BA.5.3,0
26/06/2021,A,0
26/06/2021,B,5
26/06/2021,B.1.1.7,127
26/06/2021,B.1.617.2,12509
26/06/2021,B.1.1.529,0
26/06/2021,BA.2,0
26/06/2021,BA.4,0
26/06/2021,BA.5,0
26/06/2021,BA.1,0
26/06/2021,BA.2.75,0
26/06/2021,XBB,0
26/06/2021,BA.5.3,0
03/07/2021,A,0
03/07/2021,B,2
03/07/2021,B.1.1.7,92
03/07/2021,B.1.617.2,17760
03/07/2021,B.1.1.529,0
03/07/2021,BA.2,0
03/07/2021,BA.4,0
03/07/2021,BA.5,0
03/07/2021,BA.1,0
03/07/2021,BA.2.75,0
03/07/2021,XBB,0
03/07/2021,BA.5.3,0
10/07/2021,A,0
10/07/2021,B,5
10/07/2021,B.1.1.7,32
10/07/2021,B.1.617.2,15119
10/07/2021,B.1.1.529,0
10/07/2021,BA.2,0
10/07/2021,BA.4,0
10/07/2021,BA.5,0
10/07/2021,BA.1,1
10/07/2021,BA.2.75,0
10/07/2021,XBB,0
10/07/2021,BA.5.3,0
17/07/2021,A,0
17/07/2021,B,7
17/07/2021,B.1.1.7,5
17/07/2021,B.1.617.2,12238
17/07/2021,B.1.1.529,0
17/07/2021,BA.2,0
17/07/2021,BA.4,0
17/07/2021,BA.5,0
17/07/2021,BA.1,0
17/07/2021,BA.2.75,0
17/07/2021,XBB,0
17/07/2021,BA.5.3,0
24/07/2021,A,0
24/07/2021,B,6
24/07/2021,B.1.1.7,6
24/07/2021,B.1.617.2,21059
24/07/2021,B.1.1.529,0
24/07/2021,BA.2,0
24/07/2021,BA.4,0
24/07/2021,BA.5,0
24/07/2021,BA.1,1
24/07/2021,BA.2.75,0
24/07/2021,XBB,0
24/07/2021,BA.5.3,0
31/07/2021,A,0
31/07/2021,B,3
31/07/2021,B.1.1.7,5
31/07/2021,B.1.617.2,22849
31/07/2021,B.1.1.529,0
